modulo,min_train_bucket_rows,max_abs_bucket_mean,valid_r2
32,0,0.01006775567531227,0.0001832617541254189
16,0,0.005035956345747605,0.0000998733913448735
2,0,0.004772314340978527,0.00009987263370159205
4,0,0.004772314340978527,0.00009987263370159205
5,0,0.004772314340978527,0.00009987263370159205
8,0,0.004772314340978527,0.00009987263370159205
10,0,0.004772314340978527,0.00009987263370159205
20,0,0.004772314340978527,0.00009987263370159205
25,0,0.004772314340978527,0.00009987263370159205
40,0,0.004772314340978527,0.00009987263370159205
50,0,0.004772314340978527,0.00009987263370159205
48,0,0.016989629750434707,-0.00001098415114286766
3,0,0.01195801950135534,-0.000039487070882415765
6,0,0.01195801950135534,-0.000039487070882415765
12,0,0.01195801950135534,-0.000039487070882415765
15,0,0.01195801950135534,-0.000039487070882415765
24,0,0.01195801950135534,-0.000039487070882415765
30,0,0.01195801950135534,-0.000039487070882415765
60,0,0.01195801950135534,-0.000039487070882415765
23,0,0.05080531661575388,-0.000273800694575943
46,0,0.05080531661575388,-0.000273800694575943
9,0,0.017308556333131372,-0.000324057101222186
18,0,0.017308556333131372,-0.000324057101222186
36,0,0.017308556333131372,-0.000324057101222186
45,0,0.017308556333131372,-0.000324057101222186
7,0,0.0177211077975781,-0.00037713686626617005
14,0,0.0177211077975781,-0.00037713686626617005
28,0,0.0177211077975781,-0.00037713686626617005
35,0,0.0177211077975781,-0.00037713686626617005
56,0,0.0177211077975781,-0.00037713686626617005
59,0,0.09865070993664829,-0.000429379065351565
17,0,0.0699289817543298,-0.0004457595016202909
34,0,0.0699289817543298,-0.0004457595016202909
64,0,0.024272687117305833,-0.0004886663713186135
47,0,0.06667467525753049,-0.0006202153405980848
19,0,0.04439923145181355,-0.0006861364933863356
38,0,0.04439923145181355,-0.0006861364933863356
51,0,0.10829543750717835,-0.0007111819947192011
31,0,0.054744385970935935,-0.0007413758978653817
62,0,0.054744385970935935,-0.0007413758978653817
11,0,0.03316101259617748,-0.000777225791240177
22,0,0.03316101259617748,-0.000777225791240177
44,0,0.03316101259617748,-0.000777225791240177
55,0,0.03316101259617748,-0.000777225791240177
29,0,0.06404673362081809,-0.0009098644733693817
58,0,0.06404673362081809,-0.0009098644733693817
37,0,0.06380217640908283,-0.0009294462979125839
27,0,0.06644107721238837,-0.0009547437457215757
54,0,0.06644107721238837,-0.0009547437457215757
21,0,0.04402313283067089,-0.0010224714380078215
42,0,0.04402313283067089,-0.0010224714380078215
43,0,0.08004319676319,-0.0015324016893838444
13,0,0.04345608182288331,-0.001648982048936487
26,0,0.04345608182288331,-0.001648982048936487
52,0,0.04345608182288331,-0.001648982048936487
49,0,0.08384473129607802,-0.0017701626115853575
41,0,0.06728891458461053,-0.001900076194825795
33,0,0.061834693707556364,-0.0019355284864186473
39,0,0.09047034072298216,-0.0020167349827802106
61,0,0.07805058621907297,-0.002141285892371947
53,0,0.09122189154412016,-0.002309118650773767
57,0,0.10608919510547088,-0.002583659171534247
63,0,0.10075705321670787,-0.0026258436027042364
89,0,0.11469779373352414,-0.003862896245788283
127,0,0.18702064714416972,-0.004169667523981735
97,0,0.2563486935177128,-0.004307237331938829
