clock,strategy,folds,mean_r2,std_r2,min_r2,max_r2,global_r2,validation_rows
row_activity,clock_simplex,2,0.004209250627840999,0.0009026315470346401,0.003570993740019901,0.004847507515662097,0.004267095734287407,1492656
batch_missing,clock_simplex,2,0.004208310420471262,0.00045748965043503645,0.0038848163863259844,0.004531804454616539,0.0042376286263487994,1492656
none,global_shrink,2,0.004125309489473705,0.00012845072952282434,0.004034481107579757,0.004216137871367653,0.004133541249317085,1492656
batch_missing,clock_shrink,2,0.004125309489473705,0.00012845072952282434,0.004034481107579757,0.004216137871367653,0.004133541249317085,1492656
none,base_ensemble,2,0.004125309489473705,0.00012845072952282434,0.004034481107579757,0.004216137871367653,0.004133541249317085,1492656
batch_missing,clock_predabs_shrink,2,0.004124578629474407,0.00012948432164602806,0.00403301938758116,0.004216137871367653,0.0041328766270275485,1492656
batch_activity,clock_shrink,2,0.0041045201765489425,0.00015785125781344204,0.003992902481730232,0.004216137871367653,0.00411463606806739,1492656
row_activity,clock_shrink,2,0.004089290738275186,0.00013381781065461299,0.003994667256917772,0.004183914219632601,0.004097866447297482,1492656
symbol_activity_ewm,clock_shrink,2,0.004065870660543425,0.00018659431163363526,0.003933928557456445,0.004197812763630404,0.004077828549511664,1492656
clock_time,clock_predabs_shrink,2,0.004049144225979351,0.00020524403077178994,0.0039040147800225578,0.004194273671936144,0.0040622972814498,1492656
batch_activity,clock_predabs_shrink,2,0.004052108105020602,0.00015311237913803467,0.003943841303448492,0.004160374906592712,0.004061920305689304,1492656
symbol_weight_cum,clock_shrink,2,0.004042456880604561,0.00023832520078441202,0.003873935515002258,0.0042109782462068646,0.004057729941526755,1492656
symbol_activity_ewm,clock_predabs_shrink,2,0.004004115459706026,0.00012261904233103703,0.003917410703371149,0.004090820216040902,0.004011973496110044,1492656
row_activity,clock_predabs_shrink,2,0.0039924702895408615,0.00017123735040188383,0.0038713871978792724,0.0041135533812024505,0.004003444028265246,1492656
clock_time,clock_shrink,2,0.003974488938903065,0.00013997359019454438,0.0038755126640894755,0.004073465213716654,0.003983459140809886,1492656
batch_missing,clock_weight_shrink,2,0.003974060923402023,0.00008544704390523185,0.003913640739224289,0.004034481107579757,0.003968585053024443,1492656
row_activity,clock_weight_shrink,2,0.003951523257064882,0.00006147207635610774,0.003908055935019861,0.003994990579109903,0.0039554626926097125,1492656
symbol_activity_ewm,clock_weight_shrink,2,0.003940514489486346,0.00007874101272012732,0.003884836185434448,0.003996192793538245,0.003945560604124543,1492656
batch_weight,clock_predabs_shrink,2,0.003938319803221235,0.0000774049597098798,0.0038835862313129077,0.003993053375129563,0.003933359309486462,1492656
symbol_weight_cum,clock_predabs_shrink,2,0.003923821545485318,0.00011468121205041838,0.0038427296827697743,0.004004913408200861,0.003931170886354529,1492656
symbol_weight_cum,clock_simplex,2,0.003845020914221009,0.0002635039008935296,0.0036586955190300863,0.004031346309411932,0.003861907551128807,1492656
batch_activity,clock_weight_shrink,2,0.0038149694283729496,0.0002077921957098307,0.003668038157708886,0.003961900699037013,0.003828285782891072,1492656
clock_time,clock_simplex,2,0.0037094255017988687,0.00008883023524012878,0.0036466130400861774,0.00377223796351156,0.00371511818385728,1492656
batch_weight,clock_shrink,2,0.003676019413689946,0.0002550560627323795,0.003495667542149139,0.003856371285230753,0.003692364671228354,1492656
symbol_weight_cum,clock_weight_shrink,2,0.003683512895122143,0.00009442106083330203,0.0036167471227200876,0.0037502786675241984,0.003689563865014067,1492656
clock_time,clock_weight_shrink,2,0.0036139675428374374,0.00012934086720603014,0.0035225097385515047,0.00370542534712337,0.0036056787385562172,1492656
batch_activity,clock_simplex,2,0.0035477236433081316,0.0003972115812128015,0.0032668526406667286,0.0038285946459495346,0.0035731789315399665,1492656
symbol_activity_ewm,clock_simplex,2,0.003518014175049655,0.00009025110277203109,0.003454197008269988,0.0035818313418293224,0.0035237979133467823,1492656
batch_weight,clock_simplex,2,0.003509507226932773,0.00006986432820767783,0.0034601056866940816,0.0035589087671714648,0.003513984479600496,1492656
batch_weight,clock_weight_shrink,2,0.0034029756456939175,0.00035628467628558364,0.0031510443350595274,0.0036549069563283076,0.0034258081348670366,1492656
