fold,strategy,weight_bucket,rows,weight_sum,numerator,denominator,weighted_zero_mean_r2
otf_01,base_ensemble,q00_q50,94864,126030.61599969864,84852.11940728889,85039.90917403648,0.0022082545544971355
otf_01,base_ensemble,q50_q90,72600,191541.62057304382,106366.14787343852,106660.64862426379,0.002761100317913101
otf_01,base_ensemble,q90_q99,18392,68465.57769584656,21216.665998042205,21290.271852018417,0.0034572528940833847
otf_01,base_ensemble,q99_q100,1936,10196.890689849854,9087.961256225437,9128.935969911025,0.004488443540478393
otf_01,batch_missing_clock_simplex,q00_q50,94864,126030.61599969864,84856.53065320037,85039.90917403648,0.0021563818990072425
otf_01,batch_missing_clock_simplex,q50_q90,72600,191541.62057304382,106360.7476931158,106660.64862426379,0.002811729864914403
otf_01,batch_missing_clock_simplex,q90_q99,18392,68465.57769584656,21219.343232213763,21290.271852018417,0.0033315037167047645
otf_01,batch_missing_clock_simplex,q99_q100,1936,10196.890689849854,9086.841020485648,9128.935969911025,0.004611156170239439
otf_01,batch_missing_tail_frozen_q90_q99_q99_q100,q00_q50,94864,126030.61599969864,84852.11940728889,85039.90917403648,0.0022082545544971355
otf_01,batch_missing_tail_frozen_q90_q99_q99_q100,q50_q90,72600,191541.62057304382,106366.14787343852,106660.64862426379,0.002761100317913101
otf_01,batch_missing_tail_frozen_q90_q99_q99_q100,q90_q99,18392,68465.57769584656,21219.343232213763,21290.271852018417,0.0033315037167047645
otf_01,batch_missing_tail_frozen_q90_q99_q99_q100,q99_q100,1936,10196.890689849854,9086.841020485648,9128.935969911025,0.004611156170239439
otf_01,batch_missing_tail_selection_gated_q90_q99_q99_q100,q00_q50,94864,126030.61599969864,84852.11940728889,85039.90917403648,0.0022082545544971355
otf_01,batch_missing_tail_selection_gated_q90_q99_q99_q100,q50_q90,72600,191541.62057304382,106366.14787343852,106660.64862426379,0.002761100317913101
otf_01,batch_missing_tail_selection_gated_q90_q99_q99_q100,q90_q99,18392,68465.57769584656,21219.343232213763,21290.271852018417,0.0033315037167047645
otf_01,batch_missing_tail_selection_gated_q90_q99_q99_q100,q99_q100,1936,10196.890689849854,9086.841020485648,9128.935969911025,0.004611156170239439
