fold,train_start,train_end,selection_start,selection_end,valid_start,valid_end,clock,strategy,kind,group_columns,selected_strategy,selected_by_selection,selection_base_r2,selection_strategy_r2,selection_strategy_delta_r2,selection_selected_delta_r2,selection_min_delta,fallback_blend_weight,fallback_alpha,parameter_rows
otf_01,1609,1668,1669,1678,1679,1688,batch_missing,global_blend,blend,"",base_ensemble,false,0.0041228701710991356,0.0041228701710991356,0.0,0.0,0.00005,0.0,,1
otf_01,1609,1668,1669,1678,1679,1688,batch_missing,clock_blend,blend,clock_bucket,base_ensemble,false,0.0041228701710991356,0.0041228701710991356,0.0,0.0,0.00005,0.0,,2
otf_01,1609,1668,1669,1678,1679,1688,batch_missing,clock_weight_blend,blend,"clock_bucket,weight_bucket",base_ensemble,false,0.0041228701710991356,0.0041228701710991356,0.0,0.0,0.00005,0.0,,8
otf_01,1609,1668,1669,1678,1679,1688,batch_missing,clock_weight_abs_blend,blend,"clock_bucket,weight_bucket,ensemble_abs_bucket",base_ensemble,false,0.0041228701710991356,0.0041228701710991356,0.0,0.0,0.00005,0.0,,30
otf_01,1609,1668,1669,1678,1679,1688,batch_missing,clock_weight_disagreement_blend,blend,"clock_bucket,weight_bucket,disagreement_bucket",base_ensemble,false,0.0041228701710991356,0.0041228701710991356,0.0,0.0,0.00005,0.0,,32
otf_01,1609,1668,1669,1678,1679,1688,batch_missing,clock_weight_delta_blend,blend,"clock_bucket,weight_bucket,candidate_delta_bucket",base_ensemble,false,0.0041228701710991356,0.0041228701710991356,0.0,0.0,0.00005,0.0,,8
otf_01,1609,1668,1669,1678,1679,1688,batch_missing,clock_weight_shrink,shrink,"clock_bucket,weight_bucket",base_ensemble,false,0.0041228701710991356,0.004057101627521265,-0.00006576854357787099,0.0,0.00005,,1.0,8
otf_01,1609,1668,1669,1678,1679,1688,batch_missing,clock_weight_abs_shrink,shrink,"clock_bucket,weight_bucket,ensemble_abs_bucket",base_ensemble,false,0.0041228701710991356,0.00391111795273702,-0.00021175221836211566,0.0,0.00005,,1.0,30
otf_01,1609,1668,1669,1678,1679,1688,batch_missing,clock_weight_disagreement_shrink,shrink,"clock_bucket,weight_bucket,disagreement_bucket",base_ensemble,false,0.0041228701710991356,0.003943513792546649,-0.00017935637855248654,0.0,0.00005,,1.0,32
otf_02,1619,1678,1679,1688,1689,1698,batch_missing,global_blend,blend,"",base_ensemble,false,0.006762439545165866,0.006801368249978013,0.00003892870481214672,0.0,0.00005,0.9999999999999833,,1
otf_02,1619,1678,1679,1688,1689,1698,batch_missing,clock_blend,blend,clock_bucket,base_ensemble,false,0.006762439545165866,0.006801368249978013,0.00003892870481214672,0.0,0.00005,0.9999999999999833,,2
otf_02,1619,1678,1679,1688,1689,1698,batch_missing,clock_weight_blend,blend,"clock_bucket,weight_bucket",base_ensemble,false,0.006762439545165866,0.006780749562083188,0.000018310016917322258,0.0,0.00005,0.9999999999999833,,8
otf_02,1619,1678,1679,1688,1689,1698,batch_missing,clock_weight_abs_blend,blend,"clock_bucket,weight_bucket,ensemble_abs_bucket",base_ensemble,false,0.006762439545165866,0.006799308230152956,0.00003686868498709028,0.0,0.00005,0.9999999999999833,,32
otf_02,1619,1678,1679,1688,1689,1698,batch_missing,clock_weight_disagreement_blend,blend,"clock_bucket,weight_bucket,disagreement_bucket",base_ensemble,false,0.006762439545165866,0.006791311716499604,0.000028872171333738095,0.0,0.00005,0.9999999999999833,,32
otf_02,1619,1678,1679,1688,1689,1698,batch_missing,clock_weight_delta_blend,blend,"clock_bucket,weight_bucket,candidate_delta_bucket",base_ensemble,false,0.006762439545165866,0.0067843707936395825,0.000021931248473716636,0.0,0.00005,0.9999999999999833,,31
otf_02,1619,1678,1679,1688,1689,1698,batch_missing,clock_weight_shrink,shrink,"clock_bucket,weight_bucket",base_ensemble,false,0.006762439545165866,0.006680802100006211,-0.00008163744515965465,0.0,0.00005,,1.0,8
otf_02,1619,1678,1679,1688,1689,1698,batch_missing,clock_weight_abs_shrink,shrink,"clock_bucket,weight_bucket,ensemble_abs_bucket",base_ensemble,false,0.006762439545165866,0.006625904435454855,-0.00013653510971101124,0.0,0.00005,,1.0,32
otf_02,1619,1678,1679,1688,1689,1698,batch_missing,clock_weight_disagreement_shrink,shrink,"clock_bucket,weight_bucket,disagreement_bucket",base_ensemble,false,0.006762439545165866,0.006637390151465472,-0.0001250493937003938,0.0,0.00005,,1.0,32
