clock,strategy,weight_bucket,rows,weight_sum,numerator,denominator,weighted_zero_mean_r2
batch_missing,base_ensemble,q00_q50,453024,605298.7242023945,472769.6771876392,474229.7401985734,0.003078809461259935
batch_missing,base_ensemble,q50_q90,251680,680485.4715518951,459318.4244576385,460289.8974085228,0.002110567614787451
batch_missing,base_ensemble,q90_q99,38720,174182.0919933319,149171.10331395944,149682.30874310771,0.0034152695361322483
batch_missing,base_ensemble,q99_q100,3872,24758.774772644043,17001.501690931782,17002.115008727065,0.00003607302944186319
batch_missing,batch_missing_clock_simplex,q00_q50,453024,605298.7242023945,472783.81833470456,474229.7401985734,0.003048990270545615
batch_missing,batch_missing_clock_simplex,q50_q90,251680,680485.4715518951,459265.8548114859,460289.8974085228,0.002224777477851103
batch_missing,batch_missing_clock_simplex,q90_q99,38720,174182.0919933319,149117.3137389111,149682.30874310771,0.0037746278029843205
batch_missing,batch_missing_clock_simplex,q99_q100,3872,24758.774772644043,16973.7562878877,17002.115008727065,0.0016679525355998148
batch_missing,clock_weight_abs_shrink,q00_q50,453024,605298.7242023945,472914.67470549326,474229.7401985734,0.0027730557187946037
batch_missing,clock_weight_abs_shrink,q50_q90,251680,680485.4715518951,459236.2786126729,460289.8974085228,0.002289033067599089
batch_missing,clock_weight_abs_shrink,q90_q99,38720,174182.0919933319,149200.47712673718,149682.30874310771,0.0032190284905176947
batch_missing,clock_weight_abs_shrink,q99_q100,3872,24758.774772644043,16997.221795245667,17002.115008727065,0.000287800281252526
batch_missing,group_select_clock_weight_abs_shrink,q00_q50,453024,605298.7242023945,472859.7800291246,474229.7401985734,0.0028888111675053896
batch_missing,group_select_clock_weight_abs_shrink,q50_q90,251680,680485.4715518951,459318.4244576385,460289.8974085228,0.002110567614787451
batch_missing,group_select_clock_weight_abs_shrink,q90_q99,38720,174182.0919933319,149164.9519482277,149682.30874310771,0.003456365680248319
batch_missing,group_select_clock_weight_abs_shrink,q99_q100,3872,24758.774772644043,17001.501690931782,17002.115008727065,0.00003607302944186319
batch_missing,selection_chosen_gate,q00_q50,453024,605298.7242023945,472859.7800291246,474229.7401985734,0.0028888111675053896
batch_missing,selection_chosen_gate,q50_q90,251680,680485.4715518951,459318.4244576385,460289.8974085228,0.002110567614787451
batch_missing,selection_chosen_gate,q90_q99,38720,174182.0919933319,149164.9519482277,149682.30874310771,0.003456365680248319
batch_missing,selection_chosen_gate,q99_q100,3872,24758.774772644043,17001.501690931782,17002.115008727065,0.00003607302944186319
