time_bucket,rows,weight_sum,numerator,denominator,weighted_zero_mean_r2
9,7749,19360.049,15861.398270131778,15953.68,0.005784334346422004
6,11393,28460.264,12172.400830214165,12237.839,0.005347188967227745
1,11393,28460.264,22573.73269197736,22674.137,0.004428130076926551
4,11393,28460.264,10703.66480457831,10739.728,0.003357881692344966
5,11393,28460.264,12437.733905379027,12478.112,0.0032359381228925788
8,11393,28460.264,17773.179777105834,17824.771,0.002894382534687212
7,11393,28460.264,13628.99501027018,13666.312,0.002730547529472216
2,11393,28460.264,14368.77137408367,14403.464,0.0024086215249140563
3,11393,28460.264,11188.398534066237,11213.789,0.002264223831235812
0,11393,28460.264,41793.471731640224,41885.227,0.0021906251533070353
