time_bucket,rows,weight_sum,denominator,baseline_numerator,candidate_numerator,baseline_r2,candidate_r2,candidate_delta_r2
2,1152000,2180354.0,1381177.9,1362372.031054868,1361668.9008782257,0.013615801617971934,0.014124881722257787,0.0005090801042857794
8,1152000,2180354.0,1696772.9,1667405.3002075672,1666974.6981273505,0.017307899734331222,0.017561676822921535,0.0002537770885903815
0,1152000,2180354.0,3963316.5,3911752.773394719,3911248.810557785,0.013010247000278863,0.013137403849078133,0.00012715684879929562
4,1152000,2180354.0,1057883.2,1044864.0405882637,1044775.7006163249,0.012306848994665831,0.012390355347506543,0.00008350635284068688
1,1152000,2180354.0,1931434.0,1902495.7003650977,1902342.3500937747,0.014982805332671045,0.015062202439340533,0.00007939710666944731
7,1152000,2180354.0,1370702.1,1347385.5892094353,1347356.0955991796,0.01701065123143708,0.017032168386563518,0.000021517155126357625
5,1152000,2180354.0,1219918.9,1204225.030988319,1204219.6134813183,0.012864662014251516,0.012869102889060291,4.440874808772155e-6
6,1152000,2180354.0,1290204.5,1267881.9002881446,1267884.6461351179,0.01730159808918308,0.017299469863019445,-2.128226163578295e-6
3,1152000,2180354.0,1094052.0,1077315.756939926,1077360.9462909198,0.015297484086747248,0.015256179513478574,-0.00004130457326876434
9,783360,1482640.8,1422121.1,1388483.7819426323,1388544.1165201701,0.023652938182299854,0.02361051241667611,-0.00004242576562375461
